timestamp,device,message,fault_class
2025-11-21T23:28:59.133574,R9,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-22T14:48:41.133574,R9,%LINK-5-UPDOWN: Interface Gi0/2 changed state to up,NORMAL
2025-11-22T10:41:37.133574,R7,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-22T12:02:23.133574,R5,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-22T03:16:34.133574,R4,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
2025-11-21T18:09:59.133574,R8,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-21T18:12:24.133574,R7,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T06:44:48.133574,R10,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-21T19:34:32.133574,R5,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T06:58:15.133574,R8,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-22T10:48:31.133574,R7,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-22T01:48:02.133574,R5,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-21T21:07:47.133574,R10,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,BGP_FLAP
2025-11-22T02:29:21.133574,R1,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-21T22:01:20.133574,R10,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-21T20:01:18.133574,R1,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-21T23:19:40.133574,R4,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-21T21:17:11.133574,R3,%RADIUS-4-ERROR: RADIUS server timeout,AUTH_FAILURE
2025-11-22T05:43:23.133574,R8,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-21T17:51:48.133574,R7,%SSH-5-FAIL: Failed login attempt for user root,AUTH_FAILURE
2025-11-22T13:36:13.133574,R2,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-21T21:58:50.133574,R4,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-21T23:50:50.133574,R1,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-21T23:52:02.133574,R2,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-22T03:42:49.133574,R4,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-21T16:49:42.133574,R10,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
2025-11-22T02:13:33.133574,R2,%SSH-5-FAIL: Failed login attempt for user root,AUTH_FAILURE
2025-11-22T10:45:40.133574,R6,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T14:05:34.133574,R8,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-21T21:55:05.133574,R5,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-22T00:39:25.133574,R10,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-22T01:55:06.133574,R3,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-22T06:31:37.133574,R6,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T12:07:26.133574,R4,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
2025-11-22T06:46:34.133574,R2,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-22T00:07:39.133574,R10,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-21T22:09:44.133574,R8,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
2025-11-22T07:30:40.133574,R9,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-22T14:05:33.133574,R5,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T06:33:47.133574,R2,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-22T01:11:45.133574,R2,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-21T15:49:42.133574,R5,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-21T17:19:12.133574,R5,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T13:53:48.133574,R8,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-22T10:31:45.133574,R3,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T07:52:59.133574,R2,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
2025-11-21T20:37:06.133574,R3,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-21T15:29:16.133574,R7,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-21T15:47:21.133574,R6,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T08:12:28.133574,R10,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T01:14:30.133574,R1,%SSH-5-FAIL: Failed login attempt for user root,AUTH_FAILURE
2025-11-22T14:20:16.133574,R1,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-21T15:57:42.133574,R1,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-22T12:00:51.133574,R5,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-21T16:19:00.133574,R6,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-21T16:28:40.133574,R2,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-22T09:23:57.133574,R6,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
2025-11-22T13:09:15.133574,R4,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T04:53:59.133574,R6,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-22T04:09:53.133574,R6,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-22T07:09:47.133574,R2,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-22T07:14:35.133574,R2,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T03:26:32.133574,R7,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-22T03:47:12.133574,R5,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T14:11:33.133574,R6,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-22T12:47:40.133574,R1,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-22T00:02:19.133574,R10,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
2025-11-22T03:24:01.133574,R7,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T10:51:54.133574,R8,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T01:07:43.133574,R3,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-21T22:02:30.133574,R5,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-22T03:53:36.133574,R7,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-21T23:27:07.133574,R4,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-21T15:54:42.133574,R5,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-22T13:25:29.133574,R10,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
2025-11-21T16:01:29.133574,R1,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T06:12:36.133574,R1,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-21T21:47:30.133574,R9,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T05:45:23.133574,R6,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
2025-11-21T20:56:25.133574,R3,%LINK-5-UPDOWN: Interface Gi0/2 changed state to up,NORMAL
2025-11-22T12:17:45.133574,R10,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-21T22:47:36.133574,R8,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-22T11:10:53.133574,R1,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-22T07:40:32.133574,R8,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T12:44:24.133574,R1,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T04:05:01.133574,R3,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-22T12:35:56.133574,R5,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T10:31:42.133574,R5,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T14:44:31.133574,R6,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T14:23:40.133574,R10,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-21T15:16:47.133574,R2,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T11:04:06.133574,R5,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-22T04:05:06.133574,R6,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T15:02:39.133574,R6,%RADIUS-4-ERROR: RADIUS server timeout,AUTH_FAILURE
2025-11-21T20:10:53.133574,R5,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-21T23:03:33.133574,R7,%SSH-5-FAIL: Failed login attempt for user root,AUTH_FAILURE
2025-11-22T10:51:35.133574,R5,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,BGP_FLAP
2025-11-21T23:19:23.133574,R5,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-21T17:36:09.133574,R3,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-21T15:13:23.133574,R3,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
2025-11-22T14:15:29.133574,R8,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
2025-11-21T19:46:39.133574,R6,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
2025-11-21T22:30:00.133574,R10,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-21T19:58:15.133574,R9,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-21T21:20:09.133574,R1,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
2025-11-21T23:07:51.133574,R8,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T04:10:34.133574,R8,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-21T17:19:02.133574,R10,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-21T22:24:03.133574,R2,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-21T16:35:04.133574,R3,%SYS-4-RESCHED: High CPU caused delayed process scheduling,CPU_SPIKE
2025-11-22T14:05:33.133574,R6,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-21T17:48:32.133574,R2,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T11:02:33.133574,R4,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T04:42:58.133574,R9,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
2025-11-22T08:21:10.133574,R10,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-22T09:11:52.133574,R2,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-22T03:43:23.133574,R1,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-22T14:06:50.133574,R9,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-21T15:56:32.133574,R7,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
2025-11-22T04:45:54.133574,R5,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T03:58:58.133574,R10,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-21T22:51:02.133574,R10,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-22T00:36:06.133574,R6,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-22T08:56:55.133574,R8,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-21T16:53:34.133574,R6,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-21T16:14:34.133574,R10,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-22T13:33:04.133574,R1,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-22T03:04:13.133574,R7,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-21T17:27:51.133574,R8,%SSH-5-FAIL: Failed login attempt for user root,AUTH_FAILURE
2025-11-21T21:34:35.133574,R6,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T00:10:26.133574,R1,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T03:16:51.133574,R10,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-22T00:30:29.133574,R2,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
2025-11-22T09:52:29.133574,R5,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-21T15:53:50.133574,R8,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-21T22:40:58.133574,R3,%LINK-5-UPDOWN: Interface Gi0/2 changed state to up,NORMAL
2025-11-21T20:38:40.133574,R8,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-22T08:27:35.133574,R2,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-22T11:08:10.133574,R1,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
2025-11-22T07:42:55.133574,R10,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-21T21:33:11.133574,R3,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-21T21:41:11.133574,R6,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T02:07:43.133574,R2,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-21T19:57:36.133574,R8,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T05:33:10.133574,R4,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-21T23:09:25.133574,R5,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-21T21:14:57.133574,R2,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-21T16:43:14.133574,R4,%RADIUS-4-ERROR: RADIUS server timeout,AUTH_FAILURE
2025-11-22T09:24:07.133574,R2,%RADIUS-4-ERROR: RADIUS server timeout,AUTH_FAILURE
2025-11-21T16:43:06.133574,R4,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T05:32:26.133574,R6,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
2025-11-22T14:08:59.133574,R1,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T11:01:09.133574,R7,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T14:25:32.133574,R10,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-22T11:07:13.133574,R6,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T14:16:49.133574,R4,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
2025-11-22T07:02:53.133574,R6,%RADIUS-4-ERROR: RADIUS server timeout,AUTH_FAILURE
2025-11-22T14:30:47.133574,R10,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-22T01:37:04.133574,R4,%RADIUS-4-ERROR: RADIUS server timeout,AUTH_FAILURE
2025-11-22T09:47:18.133574,R3,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-21T19:11:55.133574,R1,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-22T04:08:58.133574,R9,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-22T14:36:51.133574,R3,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-22T08:18:39.133574,R3,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-21T20:40:10.133574,R3,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T08:40:36.133574,R2,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
2025-11-22T04:42:47.133574,R2,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T08:11:07.133574,R7,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T00:37:20.133574,R2,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
2025-11-22T05:42:24.133574,R7,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-22T05:35:53.133574,R3,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-21T17:23:07.133574,R9,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-21T20:47:16.133574,R2,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-21T18:24:58.133574,R10,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
2025-11-22T11:49:46.133574,R3,%SSH-5-FAIL: Failed login attempt for user root,AUTH_FAILURE
2025-11-22T07:25:41.133574,R6,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
2025-11-22T00:23:18.133574,R10,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T06:27:52.133574,R2,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T15:02:01.133574,R2,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T02:14:50.133574,R1,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-22T05:25:38.133574,R1,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T11:53:34.133574,R8,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T12:04:44.133574,R8,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T02:25:18.133574,R6,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-21T20:47:25.133574,R3,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-22T06:17:06.133574,R3,%SYS-5-RELOAD: Reload requested by admin,NORMAL
2025-11-22T01:06:35.133574,R1,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T12:06:32.133574,R6,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T11:27:58.133574,R4,%LINK-5-UPDOWN: Interface Gi0/2 changed state to up,NORMAL
2025-11-22T03:36:12.133574,R7,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-22T12:20:45.133574,R1,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T14:39:45.133574,R8,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-22T03:35:03.133574,R10,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-21T15:32:44.133574,R2,%RADIUS-4-ERROR: RADIUS server timeout,AUTH_FAILURE
2025-11-21T15:26:28.133574,R6,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T09:47:00.133574,R9,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T05:50:44.133574,R1,%BGP-5-NBRUP: BGP adjacency established successfully,NORMAL
2025-11-22T08:41:23.133574,R1,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T00:03:53.133574,R1,%SSH-5-FAIL: Failed login attempt for user root,AUTH_FAILURE
2025-11-21T20:46:45.133574,R9,%AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
2025-11-22T10:21:48.133574,R5,%PARSER-4-BADCMD: Bad command detected in config file,CONFIG_ERROR
2025-11-22T09:27:35.133574,R4,%AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
2025-11-21T17:49:33.133574,R7,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,BGP_FLAP
2025-11-22T08:45:47.133574,R3,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
2025-11-22T00:53:19.133574,R5,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
2025-11-22T01:10:49.133574,R1,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-22T12:26:41.133574,R5,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-22T12:50:31.133574,R5,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-22T12:03:50.133574,R6,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-22T00:57:57.133574,R8,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
2025-11-22T05:31:23.133574,R9,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T01:18:04.133574,R6,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-22T03:31:46.133574,R8,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
2025-11-22T07:54:41.133574,R5,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T00:42:42.133574,R3,%OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
2025-11-22T01:21:40.133574,R4,%SYS-5-LOGGING: System logging restarted,NORMAL
2025-11-22T10:08:10.133574,R5,%CONFIG-3-ERROR: Failed to apply running-config changes,CONFIG_ERROR
2025-11-22T06:02:02.133574,R2,%PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
2025-11-22T13:04:12.133574,R1,%LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
2025-11-22T14:07:31.133574,R7,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
2025-11-22T00:54:24.133574,R4,%SYS-4-CONFIG: Rollback initiated due to config inconsistency,CONFIG_ERROR
2025-11-21T15:13:04.133574,R7,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
