incident_id,device,window_start,window_end,text,fault_class
10,R1,2025-11-21 16:35:00,2025-11-21 16:38:27.133574,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %AAA-5-NO_ATTR: Missing AAA attributes in request,BGP_FLAP
11,R1,2025-11-21 16:40:00,2025-11-21 16:43:31.133574,"%PARSER-4-BADCMD: Bad command detected in config file %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %PLATFORM-3-CPUHIGH: CPU utilization above 95%",CONFIG_ERROR
12,R1,2025-11-21 17:15:00,2025-11-21 17:16:29.133574,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %CONFIG-3-ERROR: Failed to apply running-config changes %SYS-4-RESCHED: High CPU caused delayed process scheduling,BGP_FLAP
13,R1,2025-11-21 17:25:00,2025-11-21 17:29:08.133574,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %SYS-3-CPUHOG: Task Scheduler detected CPU hog process %SYS-4-RESCHED: High CPU caused delayed process scheduling",CPU_SPIKE
14,R1,2025-11-21 17:35:00,2025-11-21 17:38:55.133574,%OAM-3-LOST: Loss of signal on port Gi0/1 %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,LINK_DOWN
15,R1,2025-11-21 17:40:00,2025-11-21 17:44:26.133574,"%SYS-5-LOGGING: System logging restarted %LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",NORMAL
16,R1,2025-11-21 17:45:00,2025-11-21 17:48:41.133574,"%OAM-3-LOST: Loss of signal on port Gi0/1 %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",LINK_DOWN
17,R1,2025-11-21 17:55:00,2025-11-21 17:57:38.133574,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation",BGP_FLAP
18,R1,2025-11-21 18:05:00,2025-11-21 18:07:26.133574,%AAA-5-NO_ATTR: Missing AAA attributes in request %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
19,R1,2025-11-21 18:20:00,2025-11-21 18:24:27.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,LINK_DOWN
20,R1,2025-11-21 18:25:00,2025-11-21 18:28:47.133574,%BGP-5-NBRUP: BGP adjacency established successfully %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %SYS-4-RESCHED: High CPU caused delayed process scheduling,NORMAL
21,R1,2025-11-21 18:30:00,2025-11-21 18:32:44.133574,%SYS-4-CONFIG: Rollback initiated due to config inconsistency %SYS-5-LOGGING: System logging restarted,CONFIG_ERROR
22,R1,2025-11-21 18:35:00,2025-11-21 18:39:07.133574,%AAA-5-NO_ATTR: Missing AAA attributes in request %SYS-5-LOGGING: System logging restarted %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,AUTH_FAILURE
23,R1,2025-11-21 18:40:00,2025-11-21 18:44:59.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %BGP-5-NBRUP: BGP adjacency established successfully,LINK_DOWN
24,R1,2025-11-21 19:20:00,2025-11-21 19:24:54.133574,%SYS-4-CONFIG: Rollback initiated due to config inconsistency %SYS-5-LOGGING: System logging restarted,CONFIG_ERROR
25,R1,2025-11-21 19:35:00,2025-11-21 19:37:32.133574,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,BGP_FLAP
26,R1,2025-11-21 19:55:00,2025-11-21 19:59:00.133574,"%BGP-5-NBRUP: BGP adjacency established successfully %LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",NORMAL
27,R1,2025-11-21 20:00:00,2025-11-21 20:04:14.133574,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %AUTH-3-FAIL: Authentication failed for user admin %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1",BGP_FLAP
28,R1,2025-11-21 20:30:00,2025-11-21 20:33:28.133574,%SYS-4-CONFIG: Rollback initiated due to config inconsistency %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,CONFIG_ERROR
29,R1,2025-11-21 20:35:00,2025-11-21 20:39:32.133574,%LINK-5-UPDOWN: Interface Gi0/2 changed state to up %RADIUS-4-ERROR: RADIUS server timeout,NORMAL
30,R1,2025-11-21 21:00:00,2025-11-21 21:04:50.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %SYS-4-CONFIG: Rollback initiated due to config inconsistency %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,LINK_DOWN
31,R1,2025-11-21 21:10:00,2025-11-21 21:12:53.133574,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down %LINK-3-UPDOWN: Interface Gi0/1 is down %SYS-4-CONFIG: Rollback initiated due to config inconsistency %OAM-3-LOST: Loss of signal on port Gi0/1",LINK_DOWN
32,R1,2025-11-21 21:15:00,2025-11-21 21:19:47.133574,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %SYS-4-CONFIG: Rollback initiated due to config inconsistency %SSH-5-FAIL: Failed login attempt for user root,CPU_SPIKE
33,R1,2025-11-21 21:25:00,2025-11-21 21:29:07.133574,"%SYS-4-CONFIG: Rollback initiated due to config inconsistency %AUTH-3-FAIL: Authentication failed for user admin %SYS-5-RELOAD: Reload requested by admin %LINK-5-UPDOWN: Interface Gi0/2 changed state to up %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",NORMAL
34,R1,2025-11-21 21:45:00,2025-11-21 21:49:51.133574,%SSH-5-FAIL: Failed login attempt for user root %SYS-5-LOGGING: System logging restarted,AUTH_FAILURE
35,R1,2025-11-21 21:50:00,2025-11-21 21:51:50.133574,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %SYS-5-RELOAD: Reload requested by admin %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,BGP_FLAP
36,R1,2025-11-21 21:55:00,2025-11-21 21:57:55.133574,"%AUTH-3-FAIL: Authentication failed for user admin %RADIUS-4-ERROR: RADIUS server timeout %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",AUTH_FAILURE
37,R1,2025-11-21 22:05:00,2025-11-21 22:07:59.133574,%SYS-4-RESCHED: High CPU caused delayed process scheduling %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %PARSER-4-BADCMD: Bad command detected in config file %BGP-5-NBRUP: BGP adjacency established successfully,CPU_SPIKE
38,R1,2025-11-21 22:15:00,2025-11-21 22:19:11.133574,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,BGP_FLAP
39,R1,2025-11-21 22:45:00,2025-11-21 22:49:43.133574,%SYS-5-RELOAD: Reload requested by admin %SYS-3-CPUHOG: Task Scheduler detected CPU hog process %PARSER-4-BADCMD: Bad command detected in config file,NORMAL
40,R1,2025-11-21 22:55:00,2025-11-21 22:59:38.133574,%SYS-5-LOGGING: System logging restarted %PARSER-4-BADCMD: Bad command detected in config file %PARSER-4-BADCMD: Bad command detected in config file %SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CONFIG_ERROR
41,R1,2025-11-21 23:00:00,2025-11-21 23:03:38.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,BGP_FLAP
42,R1,2025-11-21 23:15:00,2025-11-21 23:17:30.133574,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1 %SYS-5-RELOAD: Reload requested by admin,CONFIG_ERROR
43,R1,2025-11-21 23:30:00,2025-11-21 23:33:17.133574,"%LINK-3-UPDOWN: Interface Gi0/1 is down %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",LINK_DOWN
44,R1,2025-11-21 23:35:00,2025-11-21 23:37:46.133574,%BGP-5-NBRUP: BGP adjacency established successfully %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,NORMAL
45,R1,2025-11-21 23:50:00,2025-11-21 23:53:21.133574,%CONFIG-3-ERROR: Failed to apply running-config changes %OAM-3-LOST: Loss of signal on port Gi0/1 %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %PLATFORM-3-CPUHIGH: CPU utilization above 95% %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
46,R1,2025-11-22 00:00:00,2025-11-22 00:03:53.133574,%SYS-4-RESCHED: High CPU caused delayed process scheduling %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %CONFIG-3-ERROR: Failed to apply running-config changes %SSH-5-FAIL: Failed login attempt for user root,CPU_SPIKE
47,R1,2025-11-22 00:10:00,2025-11-22 00:13:21.133574,%OAM-3-LOST: Loss of signal on port Gi0/1 %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %LINK-3-UPDOWN: Interface Gi0/1 is down,LINK_DOWN
48,R1,2025-11-22 00:15:00,2025-11-22 00:18:41.133574,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %RADIUS-4-ERROR: RADIUS server timeout,BGP_FLAP
49,R1,2025-11-22 00:25:00,2025-11-22 00:27:29.133574,%RADIUS-4-ERROR: RADIUS server timeout %LINK-3-UPDOWN: Interface Gi0/1 is down %OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
50,R1,2025-11-22 00:35:00,2025-11-22 00:36:19.133574,%SSH-5-FAIL: Failed login attempt for user root %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,AUTH_FAILURE
51,R1,2025-11-22 00:40:00,2025-11-22 00:43:55.133574,"%SYS-4-RESCHED: High CPU caused delayed process scheduling %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",LINK_DOWN
52,R1,2025-11-22 00:45:00,2025-11-22 00:46:15.133574,%LINK-3-UPDOWN: Interface Gi0/1 is down %SYS-4-RESCHED: High CPU caused delayed process scheduling %SSH-5-FAIL: Failed login attempt for user root,LINK_DOWN
53,R1,2025-11-22 00:50:00,2025-11-22 00:53:37.133574,%PARSER-4-BADCMD: Bad command detected in config file %RADIUS-4-ERROR: RADIUS server timeout,CONFIG_ERROR
54,R1,2025-11-22 00:55:00,2025-11-22 00:57:54.133574,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %OAM-3-LOST: Loss of signal on port Gi0/1,BGP_FLAP
55,R1,2025-11-22 01:05:00,2025-11-22 01:06:46.133574,%PLATFORM-3-CPUHIGH: CPU utilization above 95% %CONFIG-3-ERROR: Failed to apply running-config changes %LINK-5-UPDOWN: Interface Gi0/2 changed state to up,CPU_SPIKE
56,R1,2025-11-22 01:10:00,2025-11-22 01:14:30.133574,%LINK-3-UPDOWN: Interface Gi0/1 is down %SSH-5-FAIL: Failed login attempt for user root,LINK_DOWN
57,R1,2025-11-22 01:20:00,2025-11-22 01:24:17.133574,%SSH-5-FAIL: Failed login attempt for user root %PLATFORM-3-CPUHIGH: CPU utilization above 95% %BGP-5-NBRUP: BGP adjacency established successfully,AUTH_FAILURE
58,R1,2025-11-22 01:30:00,2025-11-22 01:33:22.133574,%AUTH-3-FAIL: Authentication failed for user admin %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %AUTH-3-FAIL: Authentication failed for user admin,AUTH_FAILURE
59,R1,2025-11-22 01:35:00,2025-11-22 01:37:54.133574,%CONFIG-3-ERROR: Failed to apply running-config changes %LINK-3-UPDOWN: Interface Gi0/1 is down,CONFIG_ERROR
60,R1,2025-11-22 01:50:00,2025-11-22 01:53:11.133574,%SYS-4-RESCHED: High CPU caused delayed process scheduling %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %LINK-5-UPDOWN: Interface Gi0/2 changed state to up %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %SYS-3-CPUHOG: Task Scheduler detected CPU hog process,CPU_SPIKE
61,R1,2025-11-22 02:00:00,2025-11-22 02:02:46.133574,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1",BGP_FLAP
62,R1,2025-11-22 02:05:00,2025-11-22 02:08:53.133574,%PLATFORM-3-CPUHIGH: CPU utilization above 95% %RADIUS-4-ERROR: RADIUS server timeout %SYS-4-CONFIG: Rollback initiated due to config inconsistency %RADIUS-4-ERROR: RADIUS server timeout %BGP-5-NBRUP: BGP adjacency established successfully,AUTH_FAILURE
63,R1,2025-11-22 02:25:00,2025-11-22 02:29:23.133574,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %AAA-5-NO_ATTR: Missing AAA attributes in request %RADIUS-4-ERROR: RADIUS server timeout",AUTH_FAILURE
64,R1,2025-11-22 02:45:00,2025-11-22 02:48:58.133574,%AUTH-3-FAIL: Authentication failed for user admin %SYS-4-RESCHED: High CPU caused delayed process scheduling,AUTH_FAILURE
65,R1,2025-11-22 02:50:00,2025-11-22 02:54:36.133574,"%RADIUS-4-ERROR: RADIUS server timeout %SYS-4-CONFIG: Rollback initiated due to config inconsistency %LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",AUTH_FAILURE
66,R1,2025-11-22 02:55:00,2025-11-22 02:59:07.133574,%SYS-3-CPUHOG: Task Scheduler detected CPU hog process %PARSER-4-BADCMD: Bad command detected in config file,CPU_SPIKE
67,R1,2025-11-22 03:05:00,2025-11-22 03:08:44.133574,%BGP-5-NBRUP: BGP adjacency established successfully %PLATFORM-3-CPUHIGH: CPU utilization above 95% %PLATFORM-3-CPUHIGH: CPU utilization above 95%,CPU_SPIKE
68,R1,2025-11-22 03:10:00,2025-11-22 03:14:49.133574,%AUTH-3-FAIL: Authentication failed for user admin %PLATFORM-3-CPUHIGH: CPU utilization above 95%,AUTH_FAILURE
69,R1,2025-11-22 03:15:00,2025-11-22 03:18:07.133574,%CONFIG-3-ERROR: Failed to apply running-config changes %RADIUS-4-ERROR: RADIUS server timeout,CONFIG_ERROR
70,R1,2025-11-22 03:25:00,2025-11-22 03:28:07.133574,%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %CONFIG-3-ERROR: Failed to apply running-config changes,BGP_FLAP
71,R1,2025-11-22 03:35:00,2025-11-22 03:38:32.133574,%SYS-5-LOGGING: System logging restarted %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,NORMAL
72,R1,2025-11-22 03:40:00,2025-11-22 03:43:23.133574,%SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1 %AUTH-3-FAIL: Authentication failed for user admin %AAA-5-NO_ATTR: Missing AAA attributes in request,AUTH_FAILURE
73,R1,2025-11-22 03:50:00,2025-11-22 03:54:41.133574,%LINK-3-UPDOWN: Interface Gi0/1 is down %SSH-5-FAIL: Failed login attempt for user root %SYS-4-RESCHED: High CPU caused delayed process scheduling %OAM-3-LOST: Loss of signal on port Gi0/1,LINK_DOWN
74,R1,2025-11-22 03:55:00,2025-11-22 03:58:05.133574,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1",LINK_DOWN
75,R1,2025-11-22 04:00:00,2025-11-22 04:03:18.133574,%AUTH-3-FAIL: Authentication failed for user admin %LINK-5-UPDOWN: Interface Gi0/2 changed state to up %PLATFORM-3-CPUHIGH: CPU utilization above 95%,AUTH_FAILURE
76,R1,2025-11-22 04:05:00,2025-11-22 04:08:21.133574,%AAA-5-NO_ATTR: Missing AAA attributes in request %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,BGP_FLAP
77,R1,2025-11-22 04:10:00,2025-11-22 04:12:10.133574,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down %SYS-5-LOGGING: System logging restarted %RADIUS-4-ERROR: RADIUS server timeout",LINK_DOWN
78,R1,2025-11-22 04:15:00,2025-11-22 04:17:59.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %SYS-4-RESCHED: High CPU caused delayed process scheduling,LINK_DOWN
79,R1,2025-11-22 04:20:00,2025-11-22 04:24:02.133574,%AAA-5-NO_ATTR: Missing AAA attributes in request %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,AUTH_FAILURE
80,R1,2025-11-22 04:30:00,2025-11-22 04:34:08.133574,"%BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",BGP_FLAP
81,R1,2025-11-22 04:35:00,2025-11-22 04:37:32.133574,%PLATFORM-3-CPUHIGH: CPU utilization above 95% %CONFIG-3-ERROR: Failed to apply running-config changes,CPU_SPIKE
82,R1,2025-11-22 04:40:00,2025-11-22 04:40:22.133574,%SYS-4-RESCHED: High CPU caused delayed process scheduling %SYS-4-CONFIG: Rollback initiated due to config inconsistency,CPU_SPIKE
83,R1,2025-11-22 04:45:00,2025-11-22 04:49:27.133574,%OAM-3-LOST: Loss of signal on port Gi0/1 %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %PARSER-4-BADCMD: Bad command detected in config file %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
84,R1,2025-11-22 05:05:00,2025-11-22 05:08:06.133574,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %SYS-4-CONFIG: Rollback initiated due to config inconsistency %SSH-5-FAIL: Failed login attempt for user root,BGP_FLAP
85,R1,2025-11-22 05:25:00,2025-11-22 05:27:50.133574,%KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation %PLATFORM-3-CPUHIGH: CPU utilization above 95% %RADIUS-4-ERROR: RADIUS server timeout %LINK-5-UPDOWN: Interface Gi0/2 changed state to up,CPU_SPIKE
86,R1,2025-11-22 05:30:00,2025-11-22 05:34:43.133574,%OAM-3-LOST: Loss of signal on port Gi0/1 %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %PLATFORM-3-CPUHIGH: CPU utilization above 95%,LINK_DOWN
87,R1,2025-11-22 05:35:00,2025-11-22 05:37:27.133574,%AUTH-3-FAIL: Authentication failed for user admin %LINK-3-UPDOWN: Interface Gi0/1 is down,AUTH_FAILURE
88,R1,2025-11-22 05:40:00,2025-11-22 05:43:38.133574,%BGP-5-NBRUP: BGP adjacency established successfully %SYS-4-CONFIG: Rollback initiated due to config inconsistency %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,NORMAL
89,R1,2025-11-22 05:50:00,2025-11-22 05:51:05.133574,"%BGP-5-NBRUP: BGP adjacency established successfully %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection",NORMAL
90,R1,2025-11-22 06:00:00,2025-11-22 06:01:55.133574,%PLATFORM-3-CPUHIGH: CPU utilization above 95% %LINK-5-UPDOWN: Interface Gi0/2 changed state to up,CPU_SPIKE
91,R1,2025-11-22 06:05:00,2025-11-22 06:07:36.133574,%SYS-5-RELOAD: Reload requested by admin %OAM-3-LOST: Loss of signal on port Gi0/1,NORMAL
92,R1,2025-11-22 06:10:00,2025-11-22 06:13:34.133574,"%LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down %SYS-5-RELOAD: Reload requested by admin %LINK-5-UPDOWN: Interface Gi0/2 changed state to up",NORMAL
93,R1,2025-11-22 06:15:00,2025-11-22 06:19:53.133574,"%BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1",BGP_FLAP
94,R1,2025-11-22 06:35:00,2025-11-22 06:37:59.133574,%ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %SSH-5-FAIL: Failed login attempt for user root,LINK_DOWN
95,R1,2025-11-22 06:50:00,2025-11-22 06:52:27.133574,"%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected",BGP_FLAP
96,R1,2025-11-22 07:00:00,2025-11-22 07:04:16.133574,"%PLATFORM-3-CPUHIGH: CPU utilization above 95% %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1 %LINEPROTO-5-UPDOWN: Line protocol on Interface Gi0/1, changed state to down",CPU_SPIKE
97,R1,2025-11-22 07:05:00,2025-11-22 07:09:41.133574,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1 %SYS-5-RELOAD: Reload requested by admin %OAM-3-LOST: Loss of signal on port Gi0/1,BGP_FLAP
98,R1,2025-11-22 07:10:00,2025-11-22 07:14:39.133574,%BGP-5-NBRUP: BGP adjacency established successfully %SYS-4-RESCHED: High CPU caused delayed process scheduling %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1,NORMAL
99,R1,2025-11-22 07:35:00,2025-11-22 07:39:30.133574,%PARSER-4-BADCMD: Bad command detected in config file %SSH-5-FAIL: Failed login attempt for user root %PLATFORM-3-CPUHIGH: CPU utilization above 95% %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
100,R1,2025-11-22 07:40:00,2025-11-22 07:43:18.133574,%SYS-4-CONFIG: Rollback initiated due to config inconsistency %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1,CONFIG_ERROR
101,R1,2025-11-22 07:50:00,2025-11-22 07:54:52.133574,%OAM-3-LOST: Loss of signal on port Gi0/1 %BGP-5-NBRUP: BGP adjacency established successfully,LINK_DOWN
102,R1,2025-11-22 08:10:00,2025-11-22 08:14:56.133574,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %RADIUS-4-ERROR: RADIUS server timeout %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %PARSER-4-BADCMD: Bad command detected in config file,BGP_FLAP
103,R1,2025-11-22 08:15:00,2025-11-22 08:17:25.133574,%AUTH-3-FAIL: Authentication failed for user admin %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,AUTH_FAILURE
104,R1,2025-11-22 08:20:00,2025-11-22 08:24:29.133574,%BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle %SYS-5-LOGGING: System logging restarted %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected,BGP_FLAP
105,R1,2025-11-22 08:25:00,2025-11-22 08:28:03.133574,%BGP-5-NBRUP: BGP adjacency established successfully %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1,NORMAL
106,R1,2025-11-22 08:30:00,2025-11-22 08:34:56.133574,%BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %SYS-4-CONFIG: Rollback initiated due to config inconsistency %ETH-4-LINKFLAP: Interface Gi0/1 link flapping detected %PLATFORM-3-CPUHIGH: CPU utilization above 95%,BGP_FLAP
107,R1,2025-11-22 08:40:00,2025-11-22 08:44:27.133574,"%CONFIG-3-ERROR: Failed to apply running-config changes %PLATFORM-3-CPUHIGH: CPU utilization above 95% %BGP-5-NBR_RESET: Neighbor 10.1.1.1 reset, closed peer connection %LINK-5-UPDOWN: Interface Gi0/2 changed state to up",CONFIG_ERROR
108,R1,2025-11-22 08:45:00,2025-11-22 08:47:26.133574,%SYS-5-RELOAD: Reload requested by admin %SYS-4-RESCHED: High CPU caused delayed process scheduling,NORMAL
109,R1,2025-11-22 09:00:00,2025-11-22 09:04:21.133574,%SYS-4-RESCHED: High CPU caused delayed process scheduling %BGP-3-KEEPALIVE: Missing keepalive from neighbor 10.1.1.1 %BGP-4-MSG: BGP notification sent to neighbor 10.1.1.1 %CONFIG-3-ERROR: Failed to apply running-config changes %AUTH-3-FAIL: Authentication failed for user admin %KERN-3-PROCESSBLOCK: Process blocked due to CPU saturation,CPU_SPIKE
110,R1,2025-11-22 09:05:00,2025-11-22 09:09:10.133574,%LINK-3-UPDOWN: Interface Gi0/1 is down %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,LINK_DOWN
111,R1,2025-11-22 09:10:00,2025-11-22 09:12:16.133574,%LINK-5-UPDOWN: Interface Gi0/2 changed state to up %OAM-3-LOST: Loss of signal on port Gi0/1,NORMAL
112,R1,2025-11-22 09:20:00,2025-11-22 09:22:30.133574,%CONFIG-3-ERROR: Failed to apply running-config changes %BGP-5-NBRUP: BGP adjacency established successfully,CONFIG_ERROR
113,R1,2025-11-22 09:25:00,2025-11-22 09:29:09.133574,%OAM-3-LOST: Loss of signal on port Gi0/1 %SYS-5-CONFIG_I: Invalid configuration on interface Gi0/1 %BGP-5-ADJCHANGE: BGP adjacency changed from Established to Idle,LINK_DOWN
